Instruction,Stimulus,Key,RT,START,END,Phase,Block,TrialN,NbackLevel,ISI,LetterN,Letter,Letter_isSame,Letter_Resp,Letter_RT,Letter_Accuracy,Letter_Timeout,Trial_A_measure,Trial_HR,Trial_FAR,Trial_CDR,Trial_MSR,Trial_ACC,Trial_RT,Trial_HitsCount,Trial_FAsCount,Trial_SameNoRespCount,Trial_DiffNoRespCount,Trial_NoRespCount,Trial_CDsCount,Trial_CorrectRespCount,Trial_SameLetterCount,Trial_DiffLetterCount,Trial_InvalidLetterCount,TrialCountCali,CaliEnd_A_measure,ISI_calibrated,Run,TrialIndex,TrialNumber_total,TrialNumber_valid,CueLearning,TrialDemandLearning,CueMapping,CueSTART,OfflineRatingTimePoint,OfflineRatingQuesIndex,CueFigure,TrialDemand,OfflineRating,OfflineRatingRT,CueStart,OfflineRatingStart,PhaseType,CueLeft,CueDemandLeft,CueRight,CueDemandRight,Choice,ChoiceDemand,TaskDemand,ChoiceRT,ChoiceTimeOut,ChoiceSTART,CueCheck,CueDemandCheck,CorrectAnswer,Answer,AnswerDemand,AnswerRT,AnswerACC,AnswerTimeOut,CheckSTART,DemandRatingQuesIndex,QuesTLX,DemandLevel,DemandRating,DemandRatingRT,QuesStart,PID,Age,Gender,Run,TIME,EXPERIMENTER,frameRate,
,,,,,,calibration,0,10,2,583,15,S,0,right,0.3979798000000301,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,10,2,583,,,,,,,,0.7386363636363636,0.5,0.18181818181818182,1.0,0.0,0.8181818181818181,0.5314176733338779,2,2,0,0,0,11,13,4,11,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,Calibration,0,,2,583,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,20,2,679,1,F,0,right,0.2904640999986441,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,20,2,679,2,C,0,right,0.14654919999884441,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,20,2,679,3,N,0,right,0.3759501000022283,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,20,2,679,4,C,1,right,0.41554919999907725,0,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,20,2,679,5,S,0,right,0.389019999995071,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,20,2,679,6,C,1,left,0.377247600001283,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,20,2,679,7,N,0,right,0.30283020000206307,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,20,2,679,8,C,1,left,0.424297799996566,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,20,2,679,9,Q,0,right,0.4208968000020832,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,20,2,679,10,F,0,right,0.361406200005149,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,20,2,679,11,Q,1,left,0.3634130999998888,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,20,2,679,12,C,0,right,0.3330735000054119,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,20,2,679,13,V,0,right,0.3447691000037594,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,20,2,679,14,J,0,right,0.3538334999975632,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,calibration,0,20,2,679,,,,,,,,0.8875,0.75,0.1,1.0,0.0,0.9,0.34995002857197377,3,1,0,0,0,10,13,4,10,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,Calibration,0,,2,679,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,CALIBRATION,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.8875,679,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
1,.\instructions\inst_prac_1\Slide1.png,right,0.5955099000057089,62.38301439999486,62.97852430000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
2,.\instructions\inst_prac_1\Slide2.png,right,0.4473682999960147,63.01474579999922,63.46211409999523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
3,.\instructions\inst_prac_1\Slide3.png,right,0.3337561000007554,63.49493950000033,63.82869560000108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
4,.\instructions\inst_prac_1\Slide4.png,right,0.2652085999943665,63.85946300000069,64.12467159999505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
5,.\instructions\inst_prac_1\Slide5.png,right,0.2742026999985683,64.15535799999634,64.42956069999491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
6,.\instructions\inst_prac_1\Slide6.png,right,0.20033160000457428,64.46048969999538,64.66082129999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
7,.\instructions\inst_prac_1\Slide7.png,right,3.3571047999939765,64.69146570000157,68.04857049999555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,20,1,1250,1,V,0,right,0.46547629999986384,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,20,1,1250,2,N,0,right,0.3785201999999117,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,20,1,1250,3,S,0,right,0.4182566000017687,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,20,1,1250,4,V,0,right,0.4439490000004298,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,20,1,1250,5,V,1,left,0.40447390000190353,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,20,1,1250,6,S,0,right,0.39541509999980917,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,20,1,1250,7,S,1,left,0.503017800001544,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,20,1,1250,8,V,0,right,0.4880927000049269,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,20,1,1250,9,X,0,right,0.42721069999970496,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,20,1,1250,10,X,1,left,0.5061798000024282,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,20,1,1250,,,,,,,,1.0,1.0,0.0,1.0,0.0,1.0,0.44305921000122905,3,0,0,0,0,7,10,3,7,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
1,.\instructions\inst_prac_1_next\Slide1.png,right,0.7817262999960803,82.01485590000084,82.79658219999692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,22,1,679,1,J,0,right,0.20459519999712938,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,22,1,679,2,J,1,left,0.3977734000000055,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,22,1,679,3,S,0,right,0.18338829999993322,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,22,1,679,4,V,0,right,0.3446144000045024,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,22,1,679,5,S,0,right,0.39686690000235103,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,22,1,679,6,S,1,left,0.36452469999494497,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,22,1,679,7,F,0,right,0.27937589999783086,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,22,1,679,8,N,0,right,0.3868953999990481,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,22,1,679,9,Q,0,right,0.3577538000026834,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,22,1,679,10,Q,1,left,0.32678799999848707,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,22,1,679,11,F,0,right,0.21577149999939138,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,22,1,679,12,J,0,right,0.3542379999998957,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
,,,,,,practice,0,22,1,679,13,J,1,left,0.3397906999962288,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,26,Female,1,2024/05/15_09:22:42,YZ,60.01006968952248,
